year,rodada,team_1_points,team_2_points,team_3_points,team_1_cost,team_2_cost,team_3_cost,team_1_n,team_2_n,team_3_n,overlap_12,overlap_13,overlap_23
2023,1,0.0,0.0,0.0,99.04,99.04,99.04,0,0,0,0,0,0
2023,2,0.0,0.0,0.0,98.8,98.8,98.8,0,0,0,0,0,0
2023,3,0.0,0.0,0.0,98.87,98.94,99.81,0,0,0,0,0,0
2023,4,0.0,0.0,0.0,99.66,99.92,98.9,0,0,0,0,0,0
2023,5,0.0,0.0,0.0,98.63,97.35,99.01,0,0,0,0,0,0
2023,6,0.0,0.0,0.0,99.85,97.8,98.84,0,0,0,0,0,0
2023,7,40.93,0.0,0.0,99.22,99.75,98.99,12,0,0,0,0,0
2023,8,0.0,0.0,0.0,99.4,99.5,99.88,0,0,0,0,0,0
2023,9,0.0,0.0,0.0,98.7,100.0,99.44,0,0,0,0,0,0
2023,10,56.67,0.0,0.0,98.54,99.92,97.85,12,0,0,0,0,0
2023,11,51.81,0.0,0.0,97.86,98.36,98.82,12,0,0,0,0,0
2023,12,0.0,0.0,0.0,95.84,99.22,99.2,0,0,0,0,0,0
2023,13,0.0,0.0,0.0,93.68,99.48,99.02,0,0,0,0,0,0
2023,14,0.0,0.0,0.0,97.63,98.69,99.83,0,0,0,0,0,0
2023,15,42.21,0.0,0.0,99.33,99.81,99.26,12,0,0,0,0,0
2023,16,63.69,0.0,0.0,99.89,99.08,99.76,12,0,0,0,0,0
2023,17,0.0,0.0,0.0,93.19,99.94,98.02,0,0,0,0,0,0
2023,18,59.17,0.0,0.0,91.52,99.6,99.88,12,0,0,0,0,0
2023,19,47.15,0.0,0.0,99.43,99.21,99.68,12,0,0,0,0,0
2023,20,32.51,0.0,0.0,97.2,99.6,99.36,12,0,0,0,0,0
2023,21,73.69,0.0,0.0,99.97,99.97,99.0,12,0,0,0,0,0
2023,22,0.0,0.0,0.0,94.02,98.15,98.46,0,0,0,0,0,0
2023,23,0.0,0.0,0.0,99.75,99.74,99.34,0,0,0,0,0,0
2023,24,0.0,0.0,0.0,99.93,99.86,98.75,0,0,0,0,0,0
2023,25,0.0,0.0,0.0,97.23,99.85,97.91,0,0,0,0,0,0
2023,26,0.0,0.0,0.0,96.92,98.96,99.36,0,0,0,0,0,0
2023,27,0.0,0.0,0.0,99.69,99.19,98.89,0,0,0,0,0,0
2023,28,0.0,0.0,0.0,97.66,99.59,98.53,0,0,0,0,0,0
2023,29,0.0,0.0,0.0,99.63,99.61,99.54,0,0,0,0,0,0
2023,30,0.0,0.0,0.0,98.55,99.95,99.12,0,0,0,0,0,0
2023,31,0.0,0.0,0.0,98.74,98.57,99.44,0,0,0,0,0,0
2023,32,0.0,0.0,0.0,99.61,98.78,97.54,0,0,0,0,0,0
2023,33,0.0,0.0,0.0,98.12,99.91,97.37,0,0,0,0,0,0
2023,34,0.0,0.0,0.0,97.99,99.91,99.92,0,0,0,0,0,0
2023,35,0.0,0.0,0.0,99.25,99.05,97.84,0,0,0,0,0,0
2023,36,0.0,0.0,0.0,97.35,99.1,99.06,0,0,0,0,0,0
2023,37,0.0,0.0,0.0,99.41,99.94,97.43,0,0,0,0,0,0
2023,38,0.0,0.0,0.0,97.68,99.34,99.5,0,0,0,0,0,0
2024,4,0.0,0.0,0.0,96.92,96.92,96.92,0,0,0,0,0,0
2024,5,0.0,0.0,0.0,98.79,98.79,98.79,0,0,0,0,0,0
2024,6,0.0,0.0,0.0,99.06,99.71,97.6,0,0,0,0,0,0
2024,7,0.0,0.0,0.0,99.55,99.14,98.85,0,0,0,0,0,0
2024,8,50.56,0.0,25.55,96.44,99.21,99.85,12,0,12,0,1,0
2024,9,0.0,0.0,0.0,96.36,99.38,97.34,0,0,0,0,0,0
2024,10,0.0,0.0,0.0,96.27,98.39,99.49,0,0,0,0,0,0
2024,11,57.65,0.0,0.0,91.31,97.58,99.59,12,0,0,0,0,0
2024,12,33.64,0.0,0.0,95.68,99.83,98.21,12,0,0,0,0,0
2024,13,38.81,0.0,0.0,99.87,97.98,99.97,12,0,0,0,0,0
2024,14,0.0,0.0,0.0,97.51,98.0,99.67,0,0,0,0,0,0
2024,15,51.55,0.0,0.0,99.94,99.76,99.34,12,0,0,0,0,0
2024,16,44.07,0.0,0.0,98.07,99.85,97.92,12,0,0,0,0,0
2024,17,21.35,0.0,0.0,97.78,97.82,98.59,12,0,0,0,0,0
2024,18,31.48,0.0,0.0,92.09,95.85,97.8,12,0,0,0,0,0
2024,19,37.25,0.0,0.0,83.83,99.07,99.58,12,0,0,0,0,0
2024,20,0.0,0.0,0.0,94.97,99.65,99.83,0,0,0,0,0,0
2024,21,0.0,0.0,0.0,99.03,99.6,99.89,0,0,0,0,0,0
2024,22,0.0,0.0,0.0,99.91,99.65,98.94,0,0,0,0,0,0
2024,23,0.0,0.0,0.0,97.42,98.08,99.15,0,0,0,0,0,0
2024,24,0.0,0.0,0.0,98.47,99.51,99.54,0,0,0,0,0,0
2024,25,0.0,0.0,0.0,97.86,99.14,99.51,0,0,0,0,0,0
2024,26,0.0,0.0,0.0,97.82,99.06,98.02,0,0,0,0,0,0
2024,27,0.0,0.0,0.0,95.9,97.68,98.66,0,0,0,0,0,0
2024,28,0.0,0.0,0.0,95.96,99.79,98.23,0,0,0,0,0,0
2024,29,0.0,0.0,0.0,99.93,99.87,97.22,0,0,0,0,0,0
2024,30,0.0,0.0,0.0,96.33,96.75,99.48,0,0,0,0,0,0
2024,31,27.57,0.0,0.0,96.46,99.05,98.07,12,0,0,0,0,0
2024,32,0.0,0.0,0.0,97.52,98.56,99.54,0,0,0,0,0,0
2024,33,0.0,0.0,0.0,94.11,99.16,99.16,0,0,0,0,0,0
2024,34,59.78,0.0,0.0,99.05,99.27,99.9,12,0,0,0,0,0
2024,35,46.7,0.0,0.0,95.84,93.56,99.97,12,0,0,0,0,0
2024,36,29.1,0.0,0.0,94.48,99.52,99.28,12,0,0,0,0,0
2024,37,10.64,0.0,0.0,93.42,96.38,99.6,12,0,0,0,0,0
2024,38,18.81,0.0,0.0,93.33,94.69,98.53,12,0,0,0,0,0
2025,1,0.0,0.0,0.0,39.0,44.0,49.0,12,12,12,0,0,0
2025,2,0.0,0.0,0.0,99.81,99.81,99.81,0,0,0,0,0,0
2025,3,0.0,0.0,0.0,98.72,99.97,97.66,0,0,0,0,0,0
2025,4,0.0,0.0,0.0,99.62,99.54,99.79,0,0,0,0,0,0
2025,5,0.0,0.0,0.0,99.03,98.59,99.64,0,0,0,0,0,0
2025,6,0.0,0.0,0.0,100.0,99.47,99.99,0,0,0,0,0,0
2025,7,0.0,0.0,0.0,99.3,99.54,99.44,0,0,0,0,0,0
2025,8,0.0,0.0,0.0,98.8,99.46,97.98,0,0,0,0,0,0
2025,9,0.0,0.0,0.0,97.73,99.89,99.3,0,0,0,0,0,0
2025,10,0.0,0.0,0.0,99.38,97.85,98.59,0,0,0,0,0,0
2025,11,0.0,0.0,0.0,99.6,99.41,96.87,0,0,0,0,0,0
2025,12,0.0,0.0,0.0,99.1,99.99,97.01,0,0,0,0,0,0
2025,13,0.0,0.0,0.0,98.76,98.52,97.34,0,0,0,0,0,0
2025,14,0.0,0.0,0.0,99.7,99.74,99.39,0,0,0,0,0,0
2025,15,0.0,0.0,0.0,99.59,99.53,99.68,0,0,0,0,0,0
2025,16,0.0,0.0,0.0,99.25,98.37,97.45,0,0,0,0,0,0
2025,17,0.0,0.0,0.0,97.4,97.97,99.26,0,0,0,0,0,0
2025,18,0.0,0.0,0.0,99.49,99.61,99.9,0,0,0,0,0,0
2025,19,0.0,0.0,0.0,98.3,99.96,99.11,0,0,0,0,0,0
2025,20,0.0,0.0,0.0,99.02,99.71,96.63,0,0,0,0,0,0
2025,21,0.0,0.0,0.0,98.47,99.48,99.63,0,0,0,0,0,0
2025,22,0.0,0.0,0.0,96.5,99.63,99.87,0,0,0,0,0,0
2025,23,0.0,0.0,0.0,99.99,99.68,99.5,0,0,0,0,0,0
2025,24,0.0,0.0,0.0,99.63,97.96,99.9,0,0,0,0,0,0
2025,25,0.0,0.0,0.0,98.96,99.83,99.72,0,0,0,0,0,0
2025,26,0.0,0.0,0.0,96.49,99.35,97.25,0,0,0,0,0,0
2025,27,0.0,0.0,0.0,97.89,98.15,99.11,0,0,0,0,0,0
2025,28,0.0,0.0,0.0,99.92,99.2,98.75,0,0,0,0,0,0
2025,29,0.0,0.0,0.0,99.09,97.89,96.99,0,0,0,0,0,0
2025,30,0.0,0.0,0.0,98.51,97.76,97.58,0,0,0,0,0,0
2025,31,0.0,0.0,0.0,99.58,98.73,99.9,0,0,0,0,0,0
2025,32,0.0,0.0,0.0,98.18,97.13,99.29,0,0,0,0,0,0
2025,33,0.0,0.0,0.0,99.72,97.07,98.61,0,0,0,0,0,0
2025,34,0.0,0.0,0.0,98.25,96.97,99.04,0,0,0,0,0,0
2025,35,0.0,0.0,0.0,99.9,98.76,96.68,0,0,0,0,0,0
2025,36,0.0,0.0,0.0,99.0,99.89,96.66,0,0,0,0,0,0
2025,37,0.0,0.0,0.0,98.26,97.03,99.86,0,0,0,0,0,0
2025,38,0.0,0.0,0.0,99.32,97.03,99.81,0,0,0,0,0,0
